epoch,start_sec,expert_stage,pred_stage,rel_delta,rel_theta,rel_alpha,rel_sigma,rel_beta
1,0.0,W,N3,0.907749,0.068671,0.012323,0.003885,0.007373
2,30.0,W,N3,0.936527,0.045734,0.009208,0.00292,0.005612
3,60.0,W,N3,0.913499,0.056193,0.013232,0.005641,0.011435
4,90.0,W,N3,0.884326,0.018534,0.083345,0.003013,0.010781
5,120.0,W,W,0.322285,0.106156,0.484465,0.015703,0.07139
6,150.0,W,N3,0.889758,0.077066,0.025179,0.002728,0.00527
7,180.0,W,N3,0.911242,0.0604,0.014182,0.00432,0.009856
8,210.0,W,N3,0.951988,0.034145,0.007245,0.002336,0.004286
9,240.0,W,N3,0.939647,0.046742,0.009041,0.00205,0.002519
10,270.0,W,N3,0.894515,0.084279,0.012051,0.003679,0.005477
11,300.0,W,N3,0.908111,0.055544,0.015172,0.00651,0.014663
12,330.0,W,N3,0.900783,0.045317,0.022764,0.009578,0.021559
13,360.0,W,N3,0.919854,0.04386,0.015418,0.006253,0.014614
14,390.0,W,N3,0.882765,0.064876,0.021394,0.009151,0.021815
15,420.0,W,N3,0.877765,0.053286,0.023219,0.013572,0.032157
16,450.0,W,N3,0.873225,0.063446,0.024447,0.010391,0.028491
17,480.0,W,N3,0.843588,0.07177,0.033244,0.016227,0.035171
18,510.0,W,N3,0.751998,0.090352,0.052138,0.024603,0.080909
19,540.0,W,N1,0.837884,0.062155,0.036744,0.019861,0.043356
20,570.0,W,N3,0.829308,0.069359,0.032935,0.018098,0.0503
21,600.0,W,N3,0.830679,0.06863,0.034998,0.018726,0.046968
22,630.0,W,N3,0.846074,0.077148,0.027209,0.014259,0.035311
23,660.0,W,N3,0.859726,0.061921,0.027834,0.013701,0.036818
24,690.0,W,N3,0.89574,0.057407,0.019502,0.00911,0.01824
25,720.0,W,N3,0.923156,0.039961,0.014614,0.007624,0.014645
26,750.0,W,N1,0.797004,0.098557,0.038902,0.020453,0.045084
27,780.0,W,N3,0.807302,0.084432,0.04043,0.018319,0.049517
28,810.0,W,N3,0.8361,0.075129,0.030732,0.014701,0.043338
29,840.0,W,N1,0.797075,0.089154,0.040721,0.018483,0.054566
30,870.0,W,N3,0.850383,0.079388,0.024875,0.013241,0.032113
31,900.0,W,N1,0.803079,0.067171,0.031238,0.032446,0.066066
32,930.0,W,N1,0.775326,0.087332,0.03283,0.025373,0.079138
33,960.0,W,N3,0.888568,0.051209,0.019951,0.011441,0.028831
